review_id,review_text,sentiment
1179,"Standard chair, works as expected.",neutral
866,"Extremely frustrated with this chair, does not work as advertised.",negative
102,"This shoes exceeded my expectations, highly recommend.",positive
440,"Great quality laptop, will buy again for sure.",positive
59,"Great quality backpack, will buy again for sure.",positive
1121,"The camera arrived on time, no complaints.",neutral
324,"Amazing experience with this phone case, five stars!",positive
975,"Average lamp, nothing special but works fine.",neutral
412,"Amazing experience with this headphones, five stars!",positive
856,"Worst phone case I have ever purchased, total garbage.",negative
821,"Worst laptop I have ever purchased, total garbage.",negative
45,"This camera exceeded my expectations, highly recommend.",positive
50,"Great quality camera, will buy again for sure.",positive
850,"Terrible monitor, broke after one use.",negative
241,Really impressed with the quality of this watch.,positive
171,"Fantastic chair, exceeded all my expectations.",positive
524,"Regret buying this charger, quality is very poor.",negative
766,"Worst chair I have ever purchased, total garbage.",negative
839,"Regret buying this keyboard, quality is very poor.",negative
424,"This camera exceeded my expectations, highly recommend.",positive
381,"Super happy with this vacuum, worth every penny.",positive
610,"Regret buying this book, quality is very poor.",negative
677,"Terrible vacuum, broke after one use.",negative
345,"Fantastic headphones, exceeded all my expectations.",positive
110,"Excellent book, fast shipping and great service.",positive
278,"Amazing experience with this camera, five stars!",positive
678,"Extremely frustrated with this lamp, does not work as advertised.",negative
571,"Terrible blender, broke after one use.",negative
359,Really impressed with the quality of this jacket.,positive
599,The speaker arrived damaged and customer service was unhelpful.,negative
391,The chair works perfectly and looks fantastic.,positive
894,"Terrible backpack, broke after one use.",negative
693,"Regret buying this chair, quality is very poor.",negative
728,"Worst speaker I have ever purchased, total garbage.",negative
363,"This watch is exactly what I needed, love it.",positive
597,"Poor quality chair, would not recommend to anyone.",negative
428,"Excellent phone case, fast shipping and great service.",positive
71,"Great quality toy, will buy again for sure.",positive
322,"Amazing experience with this monitor, five stars!",positive
653,"Very disappointed with this headphones, waste of money.",negative
1066,"Standard backpack, works as expected.",neutral
108,Really impressed with the quality of this lamp.,positive
1109,Reasonable monitor for casual use.,neutral
356,"Amazing experience with this charger, five stars!",positive
951,"The camera does the job, nothing more nothing less.",neutral
343,"Fantastic monitor, exceeded all my expectations.",positive
355,The lamp works perfectly and looks fantastic.,positive
24,"Excellent blender, fast shipping and great service.",positive
44,"Excellent charger, fast shipping and great service.",positive
244,The phone case works perfectly and looks fantastic.,positive
738,"Worst headphones I have ever purchased, total garbage.",negative
1136,It's a decent lamp for the price.,neutral
368,"Fantastic phone case, exceeded all my expectations.",positive
164,"Amazing experience with this vacuum, five stars!",positive
1116,"Standard headphones, works as expected.",neutral
333,"Great quality blender, will buy again for sure.",positive
989,"The headphones is fine, meets basic expectations.",neutral
1173,"The toy is fine, meets basic expectations.",neutral
1002,"It's an okay keyboard, would consider alternatives next time.",neutral
378,"This monitor is exactly what I needed, love it.",positive
310,"I absolutely love this lamp, best purchase ever!",positive
156,"Super happy with this keyboard, worth every penny.",positive
211,"Amazing experience with this speaker, five stars!",positive
87,"Fantastic book, exceeded all my expectations.",positive
169,"This watch is exactly what I needed, love it.",positive
995,"It's an okay lamp, would consider alternatives next time.",neutral
52,The vacuum works perfectly and looks fantastic.,positive
439,"This backpack exceeded my expectations, highly recommend.",positive
550,"Not worth the price, phone case feels cheaply made.",negative
491,"Excellent camera, fast shipping and great service.",positive
426,"Fantastic watch, exceeded all my expectations.",positive
136,"Great quality book, will buy again for sure.",positive
1192,"The toy does the job, nothing more nothing less.",neutral
55,"Amazing experience with this monitor, five stars!",positive
79,"I absolutely love this book, best purchase ever!",positive
431,"Amazing experience with this laptop, five stars!",positive
185,"Great quality charger, will buy again for sure.",positive
57,"This book exceeded my expectations, highly recommend.",positive
943,Reasonable backpack for casual use.,neutral
851,"Terrible tablet, broke after one use.",negative
1164,It's a decent mouse for the price.,neutral
219,The blender works perfectly and looks fantastic.,positive
845,"The headphones stopped working within a week, awful.",negative
114,"This tablet is exactly what I needed, love it.",positive
549,"This jacket was a complete letdown, returning it.",negative
1019,It's a decent charger for the price.,neutral
1073,"The lamp is fine, meets basic expectations.",neutral
175,"This blender exceeded my expectations, highly recommend.",positive
1023,"The blender is okay, does what it says.",neutral
616,"Extremely frustrated with this monitor, does not work as advertised.",negative
514,"The mouse stopped working within a week, awful.",negative
462,"Super happy with this tablet, worth every penny.",positive
287,"Excellent shoes, fast shipping and great service.",positive
382,"This monitor is exactly what I needed, love it.",positive
1008,"The speaker does the job, nothing more nothing less.",neutral
671,"Worst camera I have ever purchased, total garbage.",negative
535,"Terrible speaker, broke after one use.",negative
910,"Standard blender, works as expected.",neutral
293,"Excellent keyboard, fast shipping and great service.",positive
124,"Fantastic jacket, exceeded all my expectations.",positive
583,"Very disappointed with this charger, waste of money.",negative
141,"I absolutely love this laptop, best purchase ever!",positive
736,The laptop arrived damaged and customer service was unhelpful.,negative
82,"Amazing experience with this laptop, five stars!",positive
882,"Extremely frustrated with this headphones, does not work as advertised.",negative
740,The lamp arrived damaged and customer service was unhelpful.,negative
1102,"The chair does the job, nothing more nothing less.",neutral
909,"The charger is fine, meets basic expectations.",neutral
1167,"It's an okay lamp, would consider alternatives next time.",neutral
937,"Not bad, not great, just an average monitor.",neutral
372,"This shoes is exactly what I needed, love it.",positive
890,"Worst phone case I have ever purchased, total garbage.",negative
157,The shoes works perfectly and looks fantastic.,positive
992,"It's an okay speaker, would consider alternatives next time.",neutral
622,"Terrible phone case, broke after one use.",negative
1038,"The speaker does the job, nothing more nothing less.",neutral
245,"Amazing experience with this speaker, five stars!",positive
159,"This speaker is exactly what I needed, love it.",positive
746,The headphones arrived damaged and customer service was unhelpful.,negative
193,"Great quality vacuum, will buy again for sure.",positive
534,"The jacket stopped working within a week, awful.",negative
904,"Not bad, not great, just an average toy.",neutral
1004,"The phone case does the job, nothing more nothing less.",neutral
1070,"Standard lamp, works as expected.",neutral
414,Really impressed with the quality of this tablet.,positive
1187,"The blender is okay, does what it says.",neutral
328,"This book exceeded my expectations, highly recommend.",positive
129,"This book is exactly what I needed, love it.",positive
695,"This chair was a complete letdown, returning it.",negative
631,"The backpack stopped working within a week, awful.",negative
275,"Fantastic tablet, exceeded all my expectations.",positive
1148,Reasonable backpack for casual use.,neutral
309,Really impressed with the quality of this mouse.,positive
234,"This charger exceeded my expectations, highly recommend.",positive
1048,Reasonable monitor for casual use.,neutral
623,"Poor quality charger, would not recommend to anyone.",negative
644,"Very disappointed with this lamp, waste of money.",negative
479,"Great quality vacuum, will buy again for sure.",positive
472,"Fantastic phone case, exceeded all my expectations.",positive
926,"The monitor does the job, nothing more nothing less.",neutral
1098,"The charger arrived on time, no complaints.",neutral
627,"Poor quality lamp, would not recommend to anyone.",negative
395,"I absolutely love this speaker, best purchase ever!",positive
637,"Terrible charger, broke after one use.",negative
768,"Very disappointed with this jacket, waste of money.",negative
533,"Very disappointed with this blender, waste of money.",negative
718,"Worst blender I have ever purchased, total garbage.",negative
667,"Not worth the price, charger feels cheaply made.",negative
598,"Not worth the price, headphones feels cheaply made.",negative
482,Really impressed with the quality of this phone case.,positive
1103,It's a decent keyboard for the price.,neutral
315,"Amazing experience with this charger, five stars!",positive
729,"Terrible blender, broke after one use.",negative
210,"Super happy with this jacket, worth every penny.",positive
934,"The jacket is okay, does what it says.",neutral
434,The shoes works perfectly and looks fantastic.,positive
329,"Amazing experience with this lamp, five stars!",positive
261,"Amazing experience with this lamp, five stars!",positive
1117,"The jacket is fine, meets basic expectations.",neutral
307,Really impressed with the quality of this backpack.,positive
1067,"Standard chair, works as expected.",neutral
928,"Not bad, not great, just an average chair.",neutral
1025,"Not bad, not great, just an average chair.",neutral
271,"Fantastic jacket, exceeded all my expectations.",positive
291,"This vacuum is exactly what I needed, love it.",positive
813,"This monitor was a complete letdown, returning it.",negative
97,"I absolutely love this charger, best purchase ever!",positive
888,The laptop arrived damaged and customer service was unhelpful.,negative
819,"Extremely frustrated with this blender, does not work as advertised.",negative
32,The mouse works perfectly and looks fantastic.,positive
763,"Not worth the price, book feels cheaply made.",negative
954,"Average keyboard, nothing special but works fine.",neutral
320,"I absolutely love this book, best purchase ever!",positive
299,"Fantastic tablet, exceeded all my expectations.",positive
200,Really impressed with the quality of this tablet.,positive
561,"This lamp was a complete letdown, returning it.",negative
179,"Amazing experience with this charger, five stars!",positive
1132,"The book does the job, nothing more nothing less.",neutral
89,Really impressed with the quality of this toy.,positive
788,"Extremely frustrated with this headphones, does not work as advertised.",negative
725,"Poor quality phone case, would not recommend to anyone.",negative
827,The laptop arrived damaged and customer service was unhelpful.,negative
209,"Amazing experience with this shoes, five stars!",positive
1040,Reasonable speaker for casual use.,neutral
297,"Super happy with this phone case, worth every penny.",positive
998,"It's an okay charger, would consider alternatives next time.",neutral
498,"Excellent camera, fast shipping and great service.",positive
835,"Not worth the price, jacket feels cheaply made.",negative
430,The book works perfectly and looks fantastic.,positive
507,The vacuum arrived damaged and customer service was unhelpful.,negative
831,"Extremely frustrated with this shoes, does not work as advertised.",negative
694,"Terrible vacuum, broke after one use.",negative
11,"Fantastic keyboard, exceeded all my expectations.",positive
848,"Very disappointed with this tablet, waste of money.",negative
463,"This charger exceeded my expectations, highly recommend.",positive
199,"Fantastic monitor, exceeded all my expectations.",positive
60,Really impressed with the quality of this tablet.,positive
907,"The keyboard is fine, meets basic expectations.",neutral
997,"It's an okay chair, would consider alternatives next time.",neutral
276,"Great quality jacket, will buy again for sure.",positive
809,"The charger stopped working within a week, awful.",negative
908,"The monitor is okay, does what it says.",neutral
658,"Worst vacuum I have ever purchased, total garbage.",negative
957,"Average jacket, nothing special but works fine.",neutral
886,"Terrible vacuum, broke after one use.",negative
221,"I absolutely love this camera, best purchase ever!",positive
789,"Terrible watch, broke after one use.",negative
712,"Very disappointed with this laptop, waste of money.",negative
714,"Not worth the price, tablet feels cheaply made.",negative
1113,"Standard mouse, works as expected.",neutral
1191,"Standard watch, works as expected.",neutral
790,"Not worth the price, shoes feels cheaply made.",negative
416,"Fantastic shoes, exceeded all my expectations.",positive
899,"Not worth the price, headphones feels cheaply made.",negative
935,"Average backpack, nothing special but works fine.",neutral
266,"Great quality shoes, will buy again for sure.",positive
632,"This vacuum was a complete letdown, returning it.",negative
248,"This jacket is exactly what I needed, love it.",positive
683,"This chair was a complete letdown, returning it.",negative
559,The shoes arrived damaged and customer service was unhelpful.,negative
1137,"The vacuum is okay, does what it says.",neutral
968,"Standard lamp, works as expected.",neutral
1005,"The vacuum is fine, meets basic expectations.",neutral
985,"The speaker arrived on time, no complaints.",neutral
295,Really impressed with the quality of this phone case.,positive
520,"Terrible jacket, broke after one use.",negative
771,"Terrible lamp, broke after one use.",negative
84,"This headphones is exactly what I needed, love it.",positive
232,"This tablet exceeded my expectations, highly recommend.",positive
621,"Regret buying this keyboard, quality is very poor.",negative
334,"This speaker exceeded my expectations, highly recommend.",positive
130,"Excellent keyboard, fast shipping and great service.",positive
1012,It's a decent jacket for the price.,neutral
645,"Extremely frustrated with this jacket, does not work as advertised.",negative
974,"Not bad, not great, just an average tablet.",neutral
383,The camera works perfectly and looks fantastic.,positive
868,"Poor quality speaker, would not recommend to anyone.",negative
543,"Very disappointed with this watch, waste of money.",negative
1194,"The lamp does the job, nothing more nothing less.",neutral
875,"Extremely frustrated with this phone case, does not work as advertised.",negative
332,Really impressed with the quality of this chair.,positive
410,"Great quality backpack, will buy again for sure.",positive
77,"I absolutely love this toy, best purchase ever!",positive
869,"Very disappointed with this speaker, waste of money.",negative
139,"Fantastic lamp, exceeded all my expectations.",positive
544,The chair arrived damaged and customer service was unhelpful.,negative
674,"Very disappointed with this headphones, waste of money.",negative
921,"Average blender, nothing special but works fine.",neutral
64,"Fantastic camera, exceeded all my expectations.",positive
142,"This lamp is exactly what I needed, love it.",positive
717,"Extremely frustrated with this keyboard, does not work as advertised.",negative
377,Really impressed with the quality of this speaker.,positive
364,"Super happy with this keyboard, worth every penny.",positive
140,"Super happy with this laptop, worth every penny.",positive
885,"Extremely frustrated with this toy, does not work as advertised.",negative
1042,"The tablet arrived on time, no complaints.",neutral
225,"Fantastic chair, exceeded all my expectations.",positive
515,"Terrible book, broke after one use.",negative
267,"This toy is exactly what I needed, love it.",positive
1170,"Average laptop, nothing special but works fine.",neutral
487,"This shoes exceeded my expectations, highly recommend.",positive
353,"This vacuum is exactly what I needed, love it.",positive
1006,"The speaker does the job, nothing more nothing less.",neutral
618,"This mouse was a complete letdown, returning it.",negative
668,The mouse arrived damaged and customer service was unhelpful.,negative
775,"Terrible laptop, broke after one use.",negative
554,"This lamp was a complete letdown, returning it.",negative
576,The charger arrived damaged and customer service was unhelpful.,negative
915,Reasonable monitor for casual use.,neutral
466,"Excellent speaker, fast shipping and great service.",positive
591,"This monitor was a complete letdown, returning it.",negative
765,"Regret buying this jacket, quality is very poor.",negative
635,"Worst phone case I have ever purchased, total garbage.",negative
838,"The tablet stopped working within a week, awful.",negative
290,"Super happy with this tablet, worth every penny.",positive
40,The mouse works perfectly and looks fantastic.,positive
31,"This shoes exceeded my expectations, highly recommend.",positive
243,"Fantastic mouse, exceeded all my expectations.",positive
429,Really impressed with the quality of this jacket.,positive
137,The keyboard works perfectly and looks fantastic.,positive
1101,"The monitor is fine, meets basic expectations.",neutral
865,"Extremely frustrated with this backpack, does not work as advertised.",negative
4,"Fantastic blender, exceeded all my expectations.",positive
833,"Poor quality book, would not recommend to anyone.",negative
603,"Very disappointed with this blender, waste of money.",negative
1034,"The toy does the job, nothing more nothing less.",neutral
655,"Very disappointed with this backpack, waste of money.",negative
844,"This blender was a complete letdown, returning it.",negative
784,"Not worth the price, chair feels cheaply made.",negative
1074,"The book is okay, does what it says.",neutral
443,"This jacket exceeded my expectations, highly recommend.",positive
1178,"The backpack does the job, nothing more nothing less.",neutral
436,"This tablet exceeded my expectations, highly recommend.",positive
1169,It's a decent monitor for the price.,neutral
101,"I absolutely love this headphones, best purchase ever!",positive
773,"This headphones was a complete letdown, returning it.",negative
495,"Amazing experience with this mouse, five stars!",positive
1028,It's a decent charger for the price.,neutral
807,"This headphones was a complete letdown, returning it.",negative
1142,"The laptop is okay, does what it says.",neutral
846,"Not worth the price, camera feels cheaply made.",negative
987,"Standard shoes, works as expected.",neutral
228,"I absolutely love this camera, best purchase ever!",positive
1193,It's a decent blender for the price.,neutral
672,"Not worth the price, backpack feels cheaply made.",negative
859,"This laptop was a complete letdown, returning it.",negative
925,"The watch does the job, nothing more nothing less.",neutral
67,"This charger exceeded my expectations, highly recommend.",positive
68,"Excellent speaker, fast shipping and great service.",positive
817,"The backpack stopped working within a week, awful.",negative
212,"I absolutely love this shoes, best purchase ever!",positive
13,Really impressed with the quality of this jacket.,positive
494,"Great quality vacuum, will buy again for sure.",positive
1165,"The jacket is fine, meets basic expectations.",neutral
300,Really impressed with the quality of this vacuum.,positive
411,The lamp works perfectly and looks fantastic.,positive
757,"The monitor stopped working within a week, awful.",negative
1075,"Standard monitor, works as expected.",neutral
696,"The phone case stopped working within a week, awful.",negative
1151,"The charger arrived on time, no complaints.",neutral
724,"Terrible chair, broke after one use.",negative
1016,"The mouse arrived on time, no complaints.",neutral
528,"Extremely frustrated with this book, does not work as advertised.",negative
600,"The blender stopped working within a week, awful.",negative
1120,Reasonable camera for casual use.,neutral
567,"Regret buying this shoes, quality is very poor.",negative
731,"The watch stopped working within a week, awful.",negative
274,"Fantastic chair, exceeded all my expectations.",positive
967,Reasonable monitor for casual use.,neutral
238,"Fantastic speaker, exceeded all my expectations.",positive
406,"This book exceeded my expectations, highly recommend.",positive
3,"Great quality shoes, will buy again for sure.",positive
7,"This phone case exceeded my expectations, highly recommend.",positive
312,"This backpack is exactly what I needed, love it.",positive
1091,"Not bad, not great, just an average keyboard.",neutral
452,"Amazing experience with this headphones, five stars!",positive
722,"Terrible speaker, broke after one use.",negative
216,"Fantastic monitor, exceeded all my expectations.",positive
1086,"It's an okay laptop, would consider alternatives next time.",neutral
28,"This keyboard exceeded my expectations, highly recommend.",positive
1158,"Standard toy, works as expected.",neutral
362,"Super happy with this book, worth every penny.",positive
823,The chair arrived damaged and customer service was unhelpful.,negative
781,"Terrible vacuum, broke after one use.",negative
629,"Regret buying this backpack, quality is very poor.",negative
454,The phone case works perfectly and looks fantastic.,positive
739,The lamp arrived damaged and customer service was unhelpful.,negative
536,"Worst laptop I have ever purchased, total garbage.",negative
1050,Reasonable mouse for casual use.,neutral
399,"Great quality speaker, will buy again for sure.",positive
257,"I absolutely love this phone case, best purchase ever!",positive
292,"I absolutely love this tablet, best purchase ever!",positive
26,Really impressed with the quality of this speaker.,positive
337,"Excellent mouse, fast shipping and great service.",positive
585,"Poor quality backpack, would not recommend to anyone.",negative
48,"Excellent book, fast shipping and great service.",positive
319,"This camera exceeded my expectations, highly recommend.",positive
107,"Great quality vacuum, will buy again for sure.",positive
799,"Extremely frustrated with this blender, does not work as advertised.",negative
56,"Fantastic backpack, exceeded all my expectations.",positive
523,"This book was a complete letdown, returning it.",negative
214,The charger works perfectly and looks fantastic.,positive
121,"Great quality tablet, will buy again for sure.",positive
918,"It's an okay tablet, would consider alternatives next time.",neutral
1068,"Not bad, not great, just an average watch.",neutral
1118,It's a decent book for the price.,neutral
73,"Fantastic speaker, exceeded all my expectations.",positive
948,Reasonable book for casual use.,neutral
747,"Poor quality blender, would not recommend to anyone.",negative
716,"This tablet was a complete letdown, returning it.",negative
558,"Very disappointed with this book, waste of money.",negative
1082,"The lamp does the job, nothing more nothing less.",neutral
1046,"It's an okay laptop, would consider alternatives next time.",neutral
553,"Worst jacket I have ever purchased, total garbage.",negative
562,"Terrible speaker, broke after one use.",negative
425,"Amazing experience with this watch, five stars!",positive
1014,"Standard backpack, works as expected.",neutral
326,"Great quality chair, will buy again for sure.",positive
924,"Not bad, not great, just an average chair.",neutral
317,"Excellent charger, fast shipping and great service.",positive
804,"Worst backpack I have ever purchased, total garbage.",negative
1163,"The phone case is fine, meets basic expectations.",neutral
529,"Regret buying this laptop, quality is very poor.",negative
837,"Extremely frustrated with this toy, does not work as advertised.",negative
715,"Not worth the price, chair feels cheaply made.",negative
901,"The keyboard is okay, does what it says.",neutral
61,"Excellent headphones, fast shipping and great service.",positive
723,The shoes arrived damaged and customer service was unhelpful.,negative
93,"This monitor is exactly what I needed, love it.",positive
858,"The backpack stopped working within a week, awful.",negative
619,"Very disappointed with this keyboard, waste of money.",negative
352,Really impressed with the quality of this camera.,positive
933,"It's an okay backpack, would consider alternatives next time.",neutral
281,"This camera is exactly what I needed, love it.",positive
421,"I absolutely love this chair, best purchase ever!",positive
1115,"The laptop is fine, meets basic expectations.",neutral
360,"Excellent chair, fast shipping and great service.",positive
423,"Amazing experience with this keyboard, five stars!",positive
679,"Worst vacuum I have ever purchased, total garbage.",negative
527,"Worst mouse I have ever purchased, total garbage.",negative
478,The keyboard works perfectly and looks fantastic.,positive
1095,Reasonable keyboard for casual use.,neutral
183,The tablet works perfectly and looks fantastic.,positive
1092,"It's an okay toy, would consider alternatives next time.",neutral
433,"This jacket exceeded my expectations, highly recommend.",positive
111,"This keyboard exceeded my expectations, highly recommend.",positive
371,"Fantastic book, exceeded all my expectations.",positive
240,"Excellent tablet, fast shipping and great service.",positive
709,"Very disappointed with this chair, waste of money.",negative
630,"This phone case was a complete letdown, returning it.",negative
594,"Not worth the price, shoes feels cheaply made.",negative
486,"This tablet exceeded my expectations, highly recommend.",positive
701,"Very disappointed with this mouse, waste of money.",negative
262,"This mouse is exactly what I needed, love it.",positive
480,"This speaker is exactly what I needed, love it.",positive
650,The book arrived damaged and customer service was unhelpful.,negative
340,The blender works perfectly and looks fantastic.,positive
669,"Worst blender I have ever purchased, total garbage.",negative
552,"Very disappointed with this watch, waste of money.",negative
459,"Excellent lamp, fast shipping and great service.",positive
184,"I absolutely love this laptop, best purchase ever!",positive
138,"I absolutely love this keyboard, best purchase ever!",positive
1161,"The backpack does the job, nothing more nothing less.",neutral
707,"This monitor was a complete letdown, returning it.",negative
582,"This book was a complete letdown, returning it.",negative
81,"Amazing experience with this speaker, five stars!",positive
769,"Not worth the price, book feels cheaply made.",negative
870,"Poor quality laptop, would not recommend to anyone.",negative
762,"The headphones stopped working within a week, awful.",negative
